DEBUG: General     , 1724590083249> LoggerManager.init                  > Initializing...
LOG  : General     , 1724590083278> cachedir set to "C:\Users\Stone\Zomboid"
LOG  : General     , 1724590083282> 25-08-2024 07:48:03
LOG  : General     , 1724590083282> cachedir is "C:\Users\Stone\Zomboid"
LOG  : General     , 1724590083282> LogFileDir is "C:\Users\Stone\Zomboid\Logs"
LOG  : General     , 1724590083282> ===== System specs =====
LOG  : General     , 1724590083283> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1724590083283> Processor: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
LOG  : General     , 1724590083284> Processor cores: 28
LOG  : General     , 1724590083284> Available processors (cores): 28
LOG  : General     , 1724590083285> Memory free: 482.55597 MB
LOG  : General     , 1724590083286> Memory max: 3072.0 MB
LOG  : General     , 1724590083286> Memory  total available to JVM: 508.0 MB
LOG  : General     , 1724590083288> C:\, Total: 930.84827 GB, Free: 151.00809 GB
LOG  : General     , 1724590083288> D:\, Total: 1863.0 GB, Free: 1076.5454 GB
LOG  : General     , 1724590083288> E:\, Total: 5589.0127 GB, Free: 1136.8533 GB
LOG  : General     , 1724590083289> F:\, Total: 58.58911 GB, Free: 58.55713 GB
LOG  : General     , 1724590083378> Mobo = [Product=Z790 GAMING WIFI7]
LOG  : General     , 1724590083464> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3400,Name=Intel(R) Core(TM) i7-14700K]
LOG  : General     , 1724590083568> Graphics = [AdapterRAM=4293918720,DriverVersion=32.0.15.6094,Name=NVIDIA GeForce RTX 3070]
LOG  : General     , 1724590083669> VideoMode = [VideoModeDescription=1842 x 1036 x 4294967296 colors]
LOG  : General     , 1724590083758> Sound = { [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Microsoft,Name=High Definition Audio Device], [Manufacturer=Voicemod S.L.,Name=Voicemod Virtual Audio Device (WDM)] }
